Topic,Count,Name,Representation,Representative_Docs,Semantic_Coherence
0,574,0_comprei dois_comprei duas_recebi comprei_produtos recebi,"['comprei dois', 'comprei duas', 'recebi comprei', 'produtos recebi', 'dois produtos', 'produto recebi', 'fiz compra', 'recebi somente', 'duas', 'dois']","['Comprei dois cobertores e recebi apenas um | Comprei dois cobertores e recebi apenas um', 'comprei dois produtos iguais e recebi apenas um | comprei dois produtos iguais e recebi apenas um', 'Eu comprei duas unidades do mesmo produto é apenas uma delas foi entregue sendo que na nota fiscal está dizendo que foram os dois produtos entregue | Eu comprei duas unidades do mesmo produto é apenas uma delas foi entregue sendo que na nota fiscal está dizendo que foram os dois produtos entregue']",0.64742756
1,235,1_caixa veio_caixa_produto danificado_embalagem produto,"['caixa veio', 'caixa', 'produto danificado', 'embalagem produto', 'embalagem', 'produto veio', 'produto chegou', 'veio quebrada', 'produto péssima', 'veio quebrado']","['a caixa do produto veio quebrada.', 'Embalagem e caixa do produto toda detereriorada', 'Apenas a caixa do produto veio avariada.']",0.51454383
2,179,2_lojas lannister_nesta loja_nunca compro_loja lannister,"['lojas lannister', 'nesta loja', 'nunca compro', 'loja lannister', 'lojas', 'recomendar loja', 'dessa loja', 'comprei lannister', 'recomendo loja', 'compro lannister']","['Sempre comprei na loja nunca tive problemas...', 'Ainda não recebi meu produto, não sei porque? Sempre comprei nas Lojas lannister e entregaram no prazo. A Loja e terceirizada, mais comprei confiando nas Lojas lannister.Espero resposta.', 'Nunca mais vou comprar pelas lojas lannister | Nunca mais vou comprar pelas lojas lannister']",0.61508024
3,178,3_comprei produto_veio cor_recebi produto_cor,"['comprei produto', 'veio cor', 'recebi produto', 'cor', 'produto veio', 'vermelho', 'comprei', 'produtos entregues', 'pedi produto', 'recebi']","['Comprei o produto na cor rosa e veio na cor preta. Gostei do produto, é ótimo, mas não veio na cor que eu comprei', 'Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica. | Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta mostrando as cores erradas, ou é defeito de fabrica.', 'Comprei o produto com a cor laranja e veio com a cor amarela.']",0.61462665
4,175,4_solicito_porem_der_pedi,"['solicito', 'porem', 'der', 'pedi', '05', 'fiz', 'efetuar', 'entregaram', 'copo', '02']","['FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS | FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS | FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS', 'COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO | COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO | COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO | COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO | COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO', 'PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCADORIA. ESTOU TENTANDO, DESDE O DIA 20/10 CONTATO VIA stark MAS NÃO OBTENHO RESPOSTA/RETORNO. | PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCADORIA. ESTOU TENTANDO, DESDE O DIA 20/10 CONTATO VIA stark MAS NÃO OBTENHO RESPOSTA/RETORNO. | PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCADORIA. ESTOU TENTANDO, DESDE O DIA 20/10 CONTATO VIA stark MAS NÃO OBTENHO RESPOSTA/RETORNO. | PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCADORIA. ESTOU TENTANDO, DESDE O DIA 20/10 CONTATO VIA stark MAS NÃO OBTENHO RESPOSTA/RETORNO. | PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCADORIA. ESTOU TENTANDO, DESDE O DIA 20/10 CONTATO VIA stark MAS NÃO OBTENHO RESPOSTA/RETORNO.']",0.7426072
5,128,5_recebi produto_produto recebi_produto ainda_produto agora,"['recebi produto', 'produto recebi', 'produto ainda', 'produto agora', 'ainda produto', 'nao recebi', 'produto chegou', 'ainda nao', 'produto nao', 'entregou produto']","['Não recebi o produto ainda', 'Eu não recebi o produto ainda', 'Ainda não recebi meu produto | Ainda não recebi meu produto']",0.6793216
6,119,6_relógio_hora_horário_veio defeito,"['relógio', 'hora', 'horário', 'veio defeito', 'chegou defeito', 'botões', 'produto veio', 'defeito', 'enganosa', 'mal acabado']","['O relógio e MUITO maior que parece, não acho que seja um relógio que também se adeque a mulher', 'comprei um relógio ,não entregaram no meu enderenço eu tive que pegar nos correios,a caixa do relógio estava aberta ,com o relógio fora da caixa bem desagradável ........não gostei ..', 'um relógio dese não compensa sem propósito']",0.5034245
7,112,7_cancelamento_cancelar_demora entregar_deixando,"['cancelamento', 'cancelar', 'demora entregar', 'deixando', 'fiz pedido', 'solicitei', 'recebi mail', 'pedido chegou', 'enviaram', 'entregaram']","['Quero o cancelamento.', 'Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo', 'Quero cancelar essa compra']",0.6277939
8,112,8_baixa qualidade_qualidade inferior_qualidade ruim_pessima qualidade,"['baixa qualidade', 'qualidade inferior', 'qualidade ruim', 'pessima qualidade', 'péssima qualidade', 'produto baixa', 'qualidade produto', 'má qualidade', 'péssimo produto', 'produto ruim']","['Produto de baixa qualidade.', 'Péssima qualidade do produto', 'Produto com baixa qualidade. | Produto com baixa qualidade. | Produto com baixa qualidade. | Produto com baixa qualidade. | Produto com baixa qualidade.']",0.77335685
9,92,9_data entrega_prazo entrega_previsão entrega_produto data,"['data entrega', 'prazo entrega', 'previsão entrega', 'produto data', 'recebi prazo', 'produto prazo', '04 18', '2018 recebi', 'entrega produto', 'produto entregue']","['Previsão para a entrega do produto até o dia 19/02. Hoje dia 21/02 ainda não recebi.', 'realizei a compra no dia 22/02/2017 com previsão de entrega até o dia 23/03/2017 e até agora não recebi o produto.Se eu ainda receber volto e falo algo mais | realizei a compra no dia 22/02/2017 com previsão de entrega até o dia 23/03/2017 e até agora não recebi o produto.Se eu ainda receber volto e falo algo mais', 'O prazo de entrega era dia 27/03/2018 hoje dia 29/03/2018 e ainda não recebi o produto!']",0.55108345
